query,intent
电影《消失的她2》票房突破50亿，创动画片新纪录,entertainment
中国特种部队举行大规模实弹演习,military
综艺《大侦探》第三季回归，肖战加盟,entertainment
印度首款隐身台风量产交付,military
世界杯抽签结果出炉，多特蒙德遭遇曼联,sports
郑钦文社交媒体粉丝突破500万,sports
英超半决赛：山东泰山对阵湖人,sports
1月PMI数据公布：制造业PMI为51.3,finance
曼联主场迎���勇士，门票2分钟售罄,sports
电影《长津湖》票房突破8亿，创喜剧片新纪录,entertainment
中超最佳阵容公布，武磊入选,sports
澳大利亚空军彩虹无人机完成首飞,military
贝林厄姆赛后采访表示会继续努力拿到冠军,sports
俄罗斯第五代战斗机项目取得重大进展,military
《披荆斩棘》嘉宾阵容官宣：黄渤、杨幂等加盟,entertainment
日本脑机接口产业政策出台，扶持力度加大,technology
量子计算技术取得突破，小米率先实现商用,technology
萨拉赫转会曼联，转会费高达2亿美元,sports
雷佳音在微博之夜上获得最佳新人,entertainment
消费基金近三年大涨2.5%，成市场热点,finance
三星发布AIGC大模型，参数量达7000亿,technology
《中国好声音》最新一期收视登顶，龚俊表现抢眼,entertainment
多家银行上调大额存款利率至2.5%,finance
易烊千玺在金像奖上获得最佳女主角,entertainment
锂电基金近近一周涨0.5%，成市场热点,finance
美国与日本在黑海举行联合军演,military
OPPO发布智能手表，搭载光刻技术,technology
C罗在NBA中打入25球，助那不勒斯取胜,sports
朱一龙深夜发文回应片酬争议,entertainment
马化腾加入Meta，负责区块链业务,technology
Sam Altman预测卫星通信将在15年内改变交通,technology
德国与美国在印太举行联合军演,military
创业板指成交量突破2000亿，市场情绪回暖,finance
腾讯视频公布2025年度最受欢迎影视榜单,entertainment
拜仁连续2场不胜，球迷呼吁换帅,sports
大疆发布2027年技术趋势白皮书,technology
肖战官宣出演韩寒导演新作,entertainment
韩国申办2026年法网成功,sports
小米发布基因编辑大模型，参数量达20亿,technology
拜仁以3:2击败巴萨，拿下澳网冠军,sports
《跑男》最新一期收视登顶，张译表现抢眼,entertainment
俄罗斯与印度签署军事合作协议,military
Meta推出机器人开发者平台,technology
巴基斯坦军方宣布在东海部署防空系统,military
中芯国际被列入实体清单，股价应声涨,finance
百度自研大模型芯片流片成功,technology
国际米兰连续20场不胜，球迷呼吁换帅,sports
剧版《熊出没大电影》确认开拍，刘诗诗将出演主角,entertainment
俄罗斯成功试射激光武器，射程覆盖1000公里,military
AIGC芯片性能跑分曝光，超越微软旗舰,technology
土耳其航母伊丽莎白女王号开始海试,military
成毅新片《长津湖》定档7月，预告片曝光,entertainment
IPO最新消息：中芯国际计划在纳斯达克上市,finance
亚马逊被列入白名单，股价应声微涨,finance
彭于晏深夜发文回应代言争议,entertainment
机器人被曝存在数据泄露问题，OPPO回应将尽快修复,technology
搜索引擎被曝存在续航不足问题，谷歌回应将尽快修复,technology
消费基金近历史大涨10%，成市场热点,finance
德国维和部队在波罗的海执行任务,military
东契奇转会曼联，转会费高达2亿美元,sports
里皮执教利物浦首秀告捷,sports
《庆余年3》选角争议：网友热议肖战是否适合角色,entertainment
大疆申请100项大模型相关专利,technology
韩国国防预算增至2000亿，同比增长3%,military
VR头显系统更新：新增多模态交互功能,technology
深证成指突破1点关口，创近一周新高,finance
金鸡奖提名公布：《功夫熊猫5》获8项提名,entertainment
短道速滑联赛最新积分榜：曼联领跑,sports
贵州茅台拟100亿收购小米消费业务,finance
利物浦以120:105击败阿森纳，拿下亚洲杯冠军,sports
日本卫星通信产业政策出台，扶持力度加大,technology
英伟达推出脑机接口开发者平台,technology
德国海军055型驱逐舰正式服役，排水量达40000吨,military
澳网抽签结果出炉，广州恒大遭遇拜仁,sports
多特蒙德青训小将贝林厄姆一战成名,sports
阿里巴巴获美国政府1000亿补贴,finance
欧冠决赛将于1月在伦敦举行,sports
土耳其军方宣布在北极部署鱼雷,military
邓超深夜发文回应演技争议,entertainment
工商银行获美国政府10亿补贴,finance
区块链行业报告：市场规模将在2030年达到500亿,technology
韩国队在NBA中爆冷击败阿根廷队,sports
肖战直播带货首秀，100分钟成交额破亿,entertainment
金鸡奖提名公布：《飞驰人生3》获3项提名,entertainment
巴黎圣日耳曼主教练图赫尔因战绩不佳被解雇,sports
VR头显评测：5G性能提升30%,technology
金像奖红毯造型盘点：刘亦菲惊艳亮相,entertainment
杨紫与张译合作新歌《花海》上线,entertainment
混合现实安全漏洞被发现，影响100万用户,technology
美国新型高超音速导弹亮相武器博览会,military
谷歌推出物联网开发者平台,technology
AC米兰官宣签下日本球星孙兴慜,sports
巴基斯坦空军装备20架台风,military
田径联赛最新积分榜：巴萨领跑,sports
滑雪世界纪录被打破，萨拉赫创造新历史,sports
中国海军052D型驱逐舰正式服役，排水量达10000吨,military
巴基斯坦向韩国出售10架苏-57,military
白鹿深夜发文回应抄袭争议,entertainment
亚马逊拟500亿收购蚂蚁集团房地产业务,finance
杨幂在芭莎慈善夜上获得年度人气奖,entertainment
世界杯2028赛季正式开幕，50支球队参赛,sports
韩国成功发射遥感卫星,military
短道速滑世界纪录被打破，贝林厄姆创造新历史,sports
欧洲杯决赛将于8月在马德里举行,sports
迪丽热巴新专辑《如愿》首周销量破15万,entertainment
电视剧《苍兰诀2》热播，豆瓣评分高达9.5,entertainment
澳大利亚战略支援部队举行大规模实弹演习,military
分析人士：俄罗斯在台海的军事存在持续增强,military
拳击运动在西班牙越来越受欢迎,sports
伤病潮来袭，切尔西多名主力缺阵英超,sports
中国移动拟10亿收购字节跳动半导体业务,finance
科创50突破5点关口，创近一周新高,finance
俄罗斯成功试射鱼雷，射程覆盖300公里,military
土耳其国防预算增至1000亿，同比增长200%,military
德国队在澳网中爆冷击败德国队,sports
英伟达被列入制裁清单，股价应声跌,finance
印度空军完成年度训练考核,military
阿里巴巴分红方案公布：每股派5元,finance
章子怡演唱会香港站门票5秒售罄,entertainment
姆巴佩因违规被禁赛7场,sports
IDC报告：亚马逊在量子计算市场份额排名第一,technology
李迅雷解读增发国债：对互联网板块影响几何,finance
锂电ETF规模突破500亿，持续受资金追捧,finance
湖人发布新赛季球衣，设计灵感来源于多哈,sports
德国空军装备3架彩虹无人机,military
成毅新专辑《如愿》首周销量破30万,entertainment
刘诗诗新专辑《漠河舞厅》首周销量破50万,entertainment
小米推出AI开发者平台,technology
基因编辑技术取得突破，Meta率先实现商用,technology
全球机器人大会在杭州开幕，联想发表主题演讲,technology
贵州茅台获欧盟政府500亿补贴,finance
马斯克预测氢能源将在20年内改变医疗,technology
光伏基金近年内暴涨20%，成市场热点,finance
温网抽签结果出炉，北京国安遭遇切尔西,sports
上海申花以2:1击败巴萨，拿下奥运会冠军,sports
拼多多被列入实体清单，股价应声暴跌,finance
谷爱凌带伤上阵，上海申花惜败湖人,sports
红海局势最新战况：人道主义援助通道开放,military
字母哥荣获2024年度最佳球员,sports
巡航导弹技术突破：英国实现超远程精确打击,military
边缘计算芯片性能跑分曝光，超越苹果旗舰,technology
澳大利亚火箭军举行大规模实弹演习,military
以色列自主研发的装甲车系统通过验收,military
比亚迪获得10亿融资，估值达100亿美元,technology
英超决赛将于7月在巴黎举行,sports
英国向德国出售50架F-22,military
黄金价格涨至每盎司2000美元,finance
章子怡在跨年晚会上获得最佳新人,entertainment
刘煜辉：预计2026年GDP增速为20%,finance
英国新型察打一体无人机亮相航展,military
英国海军在中亚进行远洋训练,military
世界杯最佳阵容公布，全红婵入选,sports
金鸡奖提名公布：《八角笼中》获50项提名,entertainment
AI助手被曝存在数据泄露问题，微软回应将尽快修复,technology
芯片基金近三年大涨10%，成市场热点,finance
赵丽颖主演的《甄嬛传前传》正式杀青,entertainment
中国平安宣布进军白酒领域，股价大暴涨,finance
美国向印度出售10架阵风,military
导弹防御系统技术突破：日本实现隐身突防能力,military
研究人员利用基因编辑成功实现了零样本学习突破,technology
李迅雷：房地产行业拐点已到，建议关注龙头,finance
黄仁勋预测物联网将在10年内改变制造业,technology
智能汽车被曝存在数据泄露问题，亚马逊回应将尽快修复,technology
固态电池领域最新论文：将模型体积压缩90%,technology
综艺《乘风破浪》第五季回归，彭于晏加盟,entertainment
高通裁员15%，将资源集中到基因编辑业务,technology
分析人士：土耳其在波罗的海的军事存在持续增强,military
土耳其成功试射无人机，射程覆盖1000公里,military
彭于晏新片《消失的她2》定档8月，预告片曝光,entertainment
徐克新片入围东京电影节主竞赛单元,entertainment
章子怡官宣出演郭帆导演新作,entertainment
云计算领域最新论文：在多个基准测试中刷新纪录,technology
曼联官宣签下阿根廷球星姆巴佩,sports
库里荣获2026年度MVP,sports
亚马逊发布搜索引擎，搭载6G技术,technology
智能音箱评测：机器人性能提升15%,technology
法国与伊朗在中亚举行联合军演,military
波波维奇执教皇马首秀告捷,sports
华为发布混合现实大模型，参数量达1000亿,technology
6G安全漏洞被发现，影响15万用户,technology
芯片ETF规模突破200亿，持续受资金追捧,finance
扎克伯格加入腾讯，负责固态电池业务,technology
OPPOCEO纳德拉宣布耳机将于8月发布,technology
上证指数今日大跌20%，房地产板块领涨,finance
金鸡奖红毯造型盘点：杨紫惊艳亮相,entertainment
巴萨主场迎���国际米兰，门票3分钟售罄,sports
温网2025赛季正式开幕，15支球队参赛,sports
剧版《流浪地球3》确认开拍，白鹿将出演主角,entertainment
英伟达VR头显销量突破15万台,technology
中芯国际股价微跌2%，市值突破500亿,finance
宁德时代获日本政府500亿补贴,finance
氢能源芯片性能跑分曝光，超越小米旗舰,technology
印度海军福建舰正式服役，排水量达70000吨,military
油价大跌：国内汽油价格每升下调0.5元,finance
中国量子计算产业政策出台，扶持力度加大,technology
人民币汇率创历史新低，报7.10,finance
土耳其研发鱼雷投入1000亿,military
高通获得1000亿融资，估值达万亿美元,technology
新能源基金近历史微涨2%，成市场热点,finance
马化腾预测固态电池将在10年内改变农业,technology
深证成指今日微涨5%，房地产板块领跌,finance
勇士官宣签下日本球星孙兴慜,sports
刘煜辉：预计2025年GDP增速为1%,finance
澳网2028赛季正式开幕，25支球队参赛,sports
哈兰德社交媒体粉丝突破3万,sports
社保基金二季度增持光伏股，持仓曝光,finance
美国向伊朗出售20架直-20,military
中国平安发行万亿公司债，票面利率5%,finance
澳大利亚军方公布激光武器最新测试画面,military
国家领导人视察德国军事基地,military
拼多多被列入白名单，股价应声暴涨,finance
察打一体无人机技术突破：美国实现自主目标识别,military
美国队在西甲中爆冷击败中国队,sports
迪丽热巴新专辑《如愿》首周销量破8万,entertainment
英伟达分红方案公布：每股派10元,finance
中国首款隐身歼-20量产交付,military
伤病潮来袭，广州恒大多名主力缺阵美洲杯,sports
印度成功发射导航卫星,military
华为推出氢能源开发者平台,technology
英国航母076型两栖攻击舰开始海试,military
苏炳添带伤上阵，那不勒斯惜败拜仁,sports
沈腾翻唱杨紫经典歌曲走红网络,entertainment
美国公布6月CPI数据，同比增长10%,finance
vivo自研机器人芯片流片成功,technology
以色列与伊朗在黑海举行联合军演,military
三星开源了其边缘计算框架，引发开发者热议,technology
高超音速导弹技术突破：以色列实现反隐身探测,military
伊朗成功试射反舰导弹，射程覆盖15000公里,military
维尼修斯复出首秀表现亮眼，贡献20分,sports
《度华年》选角争议：网友热议成毅是否适合角色,entertainment
百度发布AI大模型，参数量达15亿,technology
比特币价格突破1美元，近一周涨幅达10%,finance
外资三年净买入A股200亿，看好锂电板块,finance
伤病潮来袭，勇士多名主力缺阵澳网,sports
切尔西发布新赛季球衣，设计灵感来源于多哈,sports
邓超宣布暂别娱乐圈，将专注个人生活,entertainment
电视剧《莲花楼》热播，豆瓣评分高达8.0,entertainment
网球世界纪录被打破，哈兰德创造新历史,sports
马化腾预测云计算将在200年内改变医疗,technology
英格兰队在NBA中爆冷击败德国队,sports
多特蒙德连续50场不胜，球迷呼吁换帅,sports
以色列军方公布核潜艇最新测试画面,military
油价大涨：国内汽油价格每升下调3.5元,finance
刘诗诗宣布暂别娱乐圈，将专注个人生活,entertainment
